origin,destination,flow
Forssa,Hattula,13
Vehmaa,Taivassalo,13
Vesanto,Laukaa,13
Vihti,Salo,13
Hanko,Kaarina,13
Halsua,Kaustinen,13
Haapajärvi,Toholampi,13
Föglö,Jomala,13
Vårdö,Sund,13
Pieksämäki,Juva,13
Eura,Pöytyä,13
Ylöjärvi,Hämeenlinna,13
Askola,Loviisa,13
Asikkala,Riihimäki,13
Alavus,Ilmajoki,13
Alavieska,Nivala,13
Äänekoski,Kuopio,13
Vehmaa,Lieto,13
Vimpeli,Seinäjoki,13
Sipoo,Vihti,12
Aura,Nousiainen,12
Vantaa,Karkkila,12
Sund,Hammarland,12
Tammela,Lempäälä,12
Geta,Saltvik,12
Ristijärvi,Paltamo,12
Kustavi,Raisio,12
Kurikka,Kauhava,12
Riihimäki,Askola,12
Vesanto,Jyväskylä,12
Kaarina,Nousiainen,12
Vimpeli,Evijärvi,12
Lohja,Sipoo,12
Kaarina,Loimaa,12
Malax,Isokyrö,12
Kivijärvi,Perho,12
Järvenpää,Lohja,12
Haapajärvi,Kiuruvesi,12
Laitila,Pori,12
Oripää,Huittinen,12
Kivijärvi,Pihtipudas,12
Tervo,Pielavesi,12
Brändö,Uusikaupunki,12
Ruovesi,Orivesi,12
Kihniö,Tampere,12
Lapinjärvi,Järvenpää,12
Lahti,Tampere,12
Lappajärvi,Pedersöre,12
Säkylä,Nakkila,12
Säkylä,Oripää,12
Forssa,Vantaa,12
Kerava,Askola,12
Kauniainen,Järvenpää,12
Vihti,Ingå,12
Lahti,Hattula,12
Keuruu,Saarijärvi,12
Siikalatva,Nivala,12
Sastamala,Eurajoki,12
Sastamala,Forssa,12
Oulainen,Siikajoki,12
Kökar,Mariehamn,12
Laukaa,Petäjävesi,12
Vöyri,Pedersöre,12
Pori,Hämeenkyrö,12
Karstula,Perho,12
Liperi,Heinävesi,12
Hollola,Iitti,12
Mariehamn,Sund,12
Orimattila,Sipoo,12
Pyhäntä,Kajaani,12
Jomala,Eckerö,12
Parkano,Seinäjoki,12
Pielavesi,Viitasaari,12
Jokioinen,Lohja,12
Urjala,Vesilahti,12
Myrskylä,Hollola,12
Huittinen,Laitila,12
Joensuu,Savonlinna,12
Myrskylä,Kouvola,12
Janakkala,Porvoo,12
Orimattila,Janakkala,12
Tuusniemi,Joensuu,12
Alavieska,Kannus,12
Somero,Kirkkonummi,12
Janakkala,Forssa,12
Koski_Tl,Marttila,12
Pyhäjoki,Siikajoki,12
Kouvola,Asikkala,12
Uusikaupunki,Kustavi,12
Ingå,Nurmijärvi,12
Jomala,Lumparland,12
Pukkila,Sipoo,12
Mikkeli,Taipalsaari,12
Jämijärvi,Hämeenkyrö,12
Juupajoki,Ruovesi,12
Orimattila,Pornainen,12
Kokemäki,Turku,12
Toholampi,Reisjärvi,12
Raisio,Aura,12
Kuopio,Joroinen,12
Multia,Äänekoski,12
Simo,Tervola,12
Jämijärvi,Ylöjärvi,12
Kokkola,Toholampi,12
Hollola,Kerava,12
Honkajoki,Siikainen,12
Raahe,Merijärvi,12
Sodankylä,Inari,11
Kouvola,Miehikkälä,11
Savukoski,Kemijärvi,11
Ii,Keminmaa,11
Savonlinna,Liperi,11
Oulu,Pudasjärvi,11
Siikainen,Merikarvia,11
Forssa,Pirkkala,11
Sipoo,Askola,11
Siikainen,Pomarkku,11
Siuntio,Kerava,11
Kuhmoinen,Padasjoki,11
Kurikka,Korsholm,11
Virolahti,Luumäki,11
Pertunmaa,Hirvensalmi,11
Kärsämäki,Ylivieska,11
Sievi,Oulainen,11
Siikainen,Isojoki,11
Kuhmoinen,Lahti,11
Vårdö,Finström,11
Enonkoski,Varkaus,11
Laitila,Pöytyä,11
Porvoo,Hollola,11
Pudasjärvi,Utajärvi,11
Malax,Kurikka,11
Rantasalmi,Heinävesi,11
Raisio,Uusikaupunki,11
Ähtäri,Jyväskylä,11
Mikkeli,Lahti,11
Mikkeli,Rantasalmi,11
Porvoo,Lapinjärvi,11
Porvoo,Kauniainen,11
Pukkila,Pornainen,11
Finström,Geta,11
Mynämäki,Loimaa,11
Alavus,Soini,11
Pöytyä,Laitila,11
Nykarleby,Lapua,11
Naantali,Vehmaa,11
Pyhäjärvi,Iisalmi,11
Punkalaidun,Pirkkala,11
Pyhäjoki,Sievi,11
Nokia,Huittinen,11
Reisjärvi,Pyhäjärvi,11
Akaa,Somero,11
Loviisa,Pornainen,11
Ypäjä,Akaa,11
Saltvik,Lumparland,11
Saltvik,Eckerö,11
Lappajärvi,Kokkola,11
Posio,Kemijärvi,11
Lappeenranta,Mäntyharju,11
Salo,Nurmijärvi,11
Lapinjärvi,Hollola,11
Lapua,Laihia,11
Vaasa,Nykarleby,11
Salla,Posio,11
Heinola,Mikkeli,11
Espoo,Ingå,11
Loimaa,Rusko,11
Padasjoki,Jämsä,11
Loppi,Porvoo,11
Loppi,Somero,11
Ristijärvi,Suomussalmi,11
Brändö,Naantali,11
Riihimäki,Tammela,11
Somero,Vantaa,11
Keitele,Tervo,11
Vantaa,Lahti,11
Pori,Isojoki,11
Veteli,Perho,11
Kaskinen,Kauhajoki,11
Pelkosenniemi,Salla,11
Pelkosenniemi,Savukoski,11
Kauhava,Alavus,11
Veteli,Nykarleby,11
Toivakka,Hankasalmi,11
Joutsa,Lahti,11
Huittinen,Pirkkala,11
Huittinen,Eurajoki,11
Jomala,Sund,11
Vihti,Somero,11
Kemi,Tervola,11
Perho,Kinnula,11
Jokioinen,Lieto,11
Kempele,Ii,11
Karstula,Viitasaari,11
Toholampi,Haapajärvi,11
Teuva,Korsnäs,11
Jämijärvi,Sastamala,11
Ikaalinen,Kangasala,11
Järvenpää,Loviisa,11
Vantaa,Siuntio,11
Kaavi,Juuka,11
Parkano,Honkajoki,11
Kalajoki,Kronoby,11
Kangasala,Vesilahti,11
Vehmaa,Rusko,11
Järvenpää,Hämeenlinna,11
Padasjoki,Kangasala,11
Kankaanpää,Isojoki,11
Kankaanpää,Ylöjärvi,11
Valkeakoski,Urjala,11
Kannus,Jakobstad,11
Siikalatva,Siikajoki,11
Kempele,Lumijoki,11
Keitele,Iisalmi,11
Tuusniemi,Varkaus,11
Padasjoki,Valkeakoski,11
Janakkala,Tammela,11
Humppila,Hämeenlinna,11
Hammarland,Saltvik,11
Kiuruvesi,Kajaani,11
Sulkava,Rantasalmi,11
Kirkkonummi,Salo,11
Pori,Nokia,11
Vimpeli,Lapua,11
Kirkkonummi,Karkkila,11
Hamina,Iitti,11
Hyvinkää,Kauniainen,11
Hankasalmi,Suonenjoki,11
Suonenjoki,Laukaa,11
Halsua,Kokkola,11
Isokyrö,Malax,11
Akaa,Huittinen,10
Merikarvia,Pomarkku,10
Merikarvia,Ulvila,10
Nakkila,Säkylä,10
Jämsä,Kangasala,10
Humppila,Lempäälä,10
Hämeenlinna,Lohja,10
Isojoki,Karvia,10
Valtimo,Kajaani,10
Pyhtää,Iitti,10
Nousiainen,Pargas,10
Nousiainen,Rauma,10
Ranua,Keminmaa,10
Ranua,Posio,10
Akaa,Hämeenkyrö,10
Järvenpää,Loppi,10
Nurmes,Lieksa,10
Äänekoski,Petäjävesi,10
Nurmijärvi,Askola,10
Akaa,Janakkala,10
Hirvensalmi,Pertunmaa,10
Puolanka,Pudasjärvi,10
Ilmajoki,Korsholm,10
Myrskylä,Sipoo,10
Huittinen,Ylöjärvi,10
Teuva,Malax,10
Huittinen,Lempäälä,10
Myrskylä,Hyvinkää,10
Turku,Koski_Tl,10
Pälkäne,Janakkala,10
Jokioinen,Pöytyä,10
Turku,Eura,10
Pyhäranta,Mynämäki,10
Mäntyharju,Luumäki,10
Mynämäki,Huittinen,10
Tampere,Loimaa,10
Pöytyä,Ypäjä,10
Alavieska,Merijärvi,10
Pyhäntä,Vieremä,10
Joutsa,Pertunmaa,10
Porvoo,Kotka,10
Multia,Petäjävesi,10
Juuka,Outokumpu,10
Ähtäri,Saarijärvi,10
Muhos,Siikalatva,10
Muhos,Raahe,10
Tuusniemi,Leppävirta,10
Vaasa,Närpes,10
Nakkila,Huittinen,10
Jyväskylä,Luhanka,10
Hämeenlinna,Loimaa,10
Pargas,Rusko,10
Kotka,Vantaa,10
Rautavaara,Siilinjärvi,10
Laitila,Rusko,10
Siikajoki,Oulainen,10
Sulkava,Puumala,10
Kärkölä,Porvoo,10
Suonenjoki,Hankasalmi,10
Utajärvi,Liminka,10
Seinäjoki,Ähtäri,10
Kihniö,Kauhajoki,10
Valkeakoski,Orivesi,10
Viitasaari,Kuopio,10
Seinäjoki,Malax,10
Sysmä,Pertunmaa,10
Keminmaa,Rovaniemi,10
Lahti,Sysmä,10
Keminmaa,Oulu,10
Savonlinna,Joroinen,10
Sulkava,Lappeenranta,10
Kuortane,Kurikka,10
Sotkamo,Iisalmi,10
Somero,Lieto,10
Somero,Hyvinkää,10
Vaasa,Lapua,10
Haapavesi,Haapajärvi,10
Somero,Kaarina,10
Kouvola,Kerava,10
Koski_Tl,Pöytyä,10
Siuntio,Tuusula,10
Sonkajärvi,Sotkamo,10
Kristinestad,Seinäjoki,10
Somero,Loppi,10
Somero,Pöytyä,10
Somero,Raasepori,10
Halsua,Perho,10
Kuopio,Keitele,10
Iitti,Lapinjärvi,10
Lapinlahti,Kiuruvesi,10
Rautavaara,Valtimo,10
Vihti,Mäntsälä,10
Eura,Tampere,10
Eura,Raisio,10
Hämeenlinna,Ylöjärvi,10
Helsinki,Loviisa,10
Taivassalo,Kaarina,10
Espoo,Askola,10
Iitti,Loviisa,10
Rovaniemi,Kolari,10
Tammela,Tuusula,10
Tampere,Huittinen,10
Kaavi,Polvijärvi,10
Tampere,Janakkala,10
Luumäki,Taipalsaari,10
Luumäki,Virolahti,10
Lohja,Hämeenlinna,10
Liperi,Savonlinna,10
Rusko,Pargas,10
Liperi,Kitee,10
Hattula,Pirkkala,10
Säkylä,Mynämäki,10
Hattula,Hausjärvi,10
Kauniainen,Sipoo,10
Lappeenranta,Miehikkälä,10
Vihti,Janakkala,10
Evijärvi,Seinäjoki,10
Vårdö,Saltvik,10
Sastamala,Rauma,10
Lapua,Alavus,10
Vaala,Tyrnävä,10
Kauhajoki,Kankaanpää,10
Lieto,Marttila,10
Liminka,Oulainen,10
Eurajoki,Huittinen,10
Humppila,Salo,10
Lohja,Tammela,10
Jakobstad,Vöyri,10
Pomarkku,Sastamala,10
Paimio,Koski_Tl,10
Oulu,Siikalatva,10
Padasjoki,Hattula,10
Pihtipudas,Kiuruvesi,10
Pukkila,Riihimäki,10
Pielavesi,Vieremä,10
Paltamo,Vaala,10
Pomarkku,Merikarvia,10
Petäjävesi,Saarijärvi,10
Orivesi,Mänttä-Vilppula,10
Polvijärvi,Kuopio,10
Pertunmaa,Lahti,10
Perho,Halsua,10
Sievi,Kaustinen,9
Sievi,Reisjärvi,9
Kangasniemi,Muurame,9
Kihniö,Kurikka,9
Forssa,Nurmijärvi,9
Pornainen,Lahti,9
Hanko,Lieto,9
Honkajoki,Parkano,9
Forssa,Paimio,9
Forssa,Pöytyä,9
Taivassalo,Mynämäki,9
Korsnäs,Teuva,9
Jokioinen,Karkkila,9
Nokia,Hämeenlinna,9
Vöyri,Malax,9
Mäntyharju,Iitti,9
Säkylä,Raisio,9
Laitila,Huittinen,9
Parkano,Alavus,9
Pihtipudas,Keitele,9
Lahti,Valkeakoski,9
Hämeenlinna,Porvoo,9
Seinäjoki,Teuva,9
Somero,Riihimäki,9
Seinäjoki,Lappajärvi,9
Seinäjoki,Närpes,9
Honkajoki,Karvia,9
Pyhäjärvi,Reisjärvi,9
Siikajoki,Tyrnävä,9
Taivassalo,Laitila,9
Siilinjärvi,Leppävirta,9
Kustavi,Naantali,9
Pori,Honkajoki,9
Karstula,Ähtäri,9
Siuntio,Järvenpää,9
Kronoby,Kauhava,9
Oripää,Raisio,9
Kronoby,Kannus,9
Halsua,Alajärvi,9
Humppila,Turku,9
Padasjoki,Janakkala,9
Myrskylä,Tuusula,9
Siikalatva,Ylivieska,9
Sodankylä,Muonio,9
Hankasalmi,Kangasniemi,9
Parikkala,Lappeenranta,9
Hamina,Luumäki,9
Karstula,Kivijärvi,9
Kuhmo,Lieksa,9
Sipoo,Riihimäki,9
Loviisa,Pukkila,9
Myrskylä,Pukkila,9
Huittinen,Forssa,9
Virolahti,Pyhtää,9
Karvia,Kihniö,9
Oripää,Kaarina,9
Hyvinkää,Pukkila,9
Hankasalmi,Rautalampi,9
Valkeakoski,Sastamala,9
Kumlinge,Turku,9
Nivala,Kokkola,9
Haapavesi,Alavieska,9
Pöytyä,Eura,9
Haapavesi,Kalajoki,9
Pihtipudas,Nivala,9
Loviisa,Nurmijärvi,9
Pyhäjärvi,Vieremä,9
Loimaa,Valkeakoski,9
Kaustinen,Sievi,9
Ähtäri,Ruovesi,9
Juva,Pieksämäki,9
Asikkala,Kärkölä,9
Tuusula,Karkkila,9
Lemland,Finström,9
Äänekoski,Vesanto,9
Mikkeli,Luumäki,9
Mikkeli,Laukaa,9
Sysmä,Tampere,9
Isojoki,Teuva,9
Saarijärvi,Muurame,9
Nurmes,Lapinlahti,9
Parkano,Ruovesi,9
Loimaa,Hämeenlinna,9
Oulainen,Kokkola,9
Nurmes,Kajaani,9
Sysmä,Joutsa,9
Lempäälä,Hämeenkyrö,9
Aura,Mynämäki,9
Lempäälä,Orivesi,9
Alajärvi,Evijärvi,9
Kihniö,Ikaalinen,9
Porvoo,Kärkölä,9
Lieto,Mynämäki,9
Jokioinen,Sastamala,9
Hausjärvi,Karkkila,9
Nurmijärvi,Lahti,9
Lieksa,Liperi,9
Jokioinen,Valkeakoski,9
Keuruu,Äänekoski,9
Suonenjoki,Joroinen,9
Orivesi,Jämsä,9
Joensuu,Heinävesi,9
Janakkala,Pälkäne,9
Janakkala,Lempäälä,9
Paimio,Nousiainen,9
Hamina,Porvoo,9
Isojoki,Karijoki,9
Ilmajoki,Teuva,9
Mynämäki,Paimio,9
Kajaani,Lapinlahti,9
Pargas,Sauvo,9
Pirkkala,Hämeenlinna,9
Iitti,Porvoo,9
Kokemäki,Kankaanpää,9
Urjala,Kangasala,9
Nousiainen,Laitila,9
Kaustinen,Nykarleby,9
Järvenpää,Karkkila,9
Närpes,Ilmajoki,9
Lapua,Jakobstad,9
Kaustinen,Ylivieska,9
Nousiainen,Paimio,9
Järvenpää,Hollola,9
Tervo,Rautalampi,9
Loimaa,Lempäälä,9
Jämsä,Lahti,9
Hartola,Mikkeli,9
Ingå,Tuusula,9
Ingå,Kauniainen,9
Akaa,Humppila,9
Hartola,Muurame,9
Mikkeli,Hartola,9
Hollola,Nurmijärvi,8
Vesanto,Siilinjärvi,8
Säkylä,Rusko,8
Huittinen,Oripää,8
Hirvensalmi,Joutsa,8
Keuruu,Uurainen,8
Säkylä,Ulvila,8
Pargas,Nousiainen,8
Vaala,Kempele,8
Vesanto,Suonenjoki,8
Rautavaara,Juuka,8
Vantaa,Hausjärvi,8
Honkajoki,Kristinestad,8
Helsinki,Lahti,8
Pyhäranta,Raisio,8
Keuruu,Alavus,8
Huittinen,Akaa,8
Hämeenlinna,Jokioinen,8
Siikalatva,Kajaani,8
Muurame,Keuruu,8
Tampere,Mänttä-Vilppula,8
Parkano,Kurikka,8
Ikaalinen,Lempäälä,8
Ikaalinen,Virrat,8
Jämsä,Sysmä,8
Pöytyä,Uusikaupunki,8
Ilomantsi,Tohmajärvi,8
Ulvila,Laitila,8
Parkano,Pirkkala,8
Isojoki,Kurikka,8
Tuusula,Orimattila,8
Pukkila,Nurmijärvi,8
Huittinen,Uusikaupunki,8
Muurame,Hankasalmi,8
Juuka,Kontiolahti,8
Raahe,Haapavesi,8
Porvoo,Vihti,8
Muhos,Siikajoki,8
Korsholm,Isokyrö,8
Turku,Säkylä,8
Porvoo,Kouvola,8
Joensuu,Kuopio,8
Multia,Uurainen,8
Jokioinen,Lempäälä,8
Kaavi,Liperi,8
Kajaani,Siikalatva,8
Heinola,Mäntsälä,8
Tammela,Turku,8
Humppila,Koski_Tl,8
Karkkila,Hausjärvi,8
Ranua,Simo,8
Valkeakoski,Tammela,8
Hyvinkää,Hattula,8
Masku,Aura,8
Kannus,Pedersöre,8
Kannus,Oulainen,8
Taipalsaari,Savitaipale,8
Hämeenkyrö,Vesilahti,8
Uusikaupunki,Lieto,8
Kankaanpää,Kokemäki,8
Tammela,Hausjärvi,8
Kangasniemi,Hirvensalmi,8
Pöytyä,Koski_Tl,8
Kangasniemi,Hankasalmi,8
Hämeenlinna,Orimattila,8
Hämeenlinna,Orivesi,8
Nykarleby,Evijärvi,8
Hämeenlinna,Sipoo,8
Tammela,Koski_Tl,8
Kalajoki,Jakobstad,8
Kalajoki,Haapavesi,8
Hausjärvi,Vihti,8
Rääkkylä,Tohmajärvi,8
Veteli,Sievi,8
Naantali,Taivassalo,8
Kuhmo,Hyrynsalmi,8
Loimaa,Mynämäki,8
Orivesi,Ruovesi,8
Kristinestad,Kankaanpää,8
Lapinjärvi,Myrskylä,8
Akaa,Orivesi,8
Lapinjärvi,Mäntsälä,8
Halsua,Vimpeli,8
Kouvola,Myrskylä,8
Hamina,Lahti,8
Akaa,Hyvinkää,8
Ypäjä,Marttila,8
Soini,Kuortane,8
Kouvola,Lemi,8
Hammarland,Sund,8
Nurmes,Iisalmi,8
Aura,Masku,8
Saarijärvi,Petäjävesi,8
Ylivieska,Siikalatva,8
Askola,Riihimäki,8
Askola,Pukkila,8
Pielavesi,Vesanto,8
Loimaa,Naantali,8
Siilinjärvi,Varkaus,8
Salo,Tammela,8
Sauvo,Naantali,8
Laitila,Taivassalo,8
Lahti,Pornainen,8
Lahti,Loppi,8
Eurajoki,Sastamala,8
Loppi,Kirkkonummi,8
Nousiainen,Aura,8
Siikainen,Honkajoki,8
Kärkölä,Nurmijärvi,8
Loppi,Sipoo,8
Loimaa,Nokia,8
Kyyjärvi,Kivijärvi,8
Siikajoki,Haapavesi,8
Loimaa,Pirkkala,8
Ylöjärvi,Ruovesi,8
Brändö,Raisio,8
Riihimäki,Valkeakoski,8
Kurikka,Kristinestad,8
Lapinjärvi,Hamina,8
Loimaa,Nousiainen,8
Pori,Pyhäranta,8
Hankasalmi,Toivakka,8
Naantali,Aura,8
Raasepori,Somero,8
Asikkala,Janakkala,8
Reisjärvi,Kinnula,8
Padasjoki,Pälkäne,8
Kitee,Kontiolahti,8
Kokemäki,Punkalaidun,8
Asikkala,Helsinki,8
Lempäälä,Urjala,8
Harjavalta,Laitila,8
Askola,Hollola,8
Lestijärvi,Nivala,8
Leppävirta,Outokumpu,8
Hattula,Vantaa,8
Pyhäntä,Iisalmi,8
Nurmijärvi,Siuntio,8
Lestijärvi,Toholampi,8
Hattula,Tammela,8
Kiuruvesi,Nivala,8
Raasepori,Hyvinkää,8
Somero,Urjala,8
Konnevesi,Kuopio,8
Punkalaidun,Vesilahti,8
Asikkala,Sysmä,8
Koski_Tl,Kaarina,8
Lemi,Mikkeli,8
Oripää,Mynämäki,8
Tammela,Ypäjä,7
Parkano,Lempäälä,7
Jomala,Geta,7
Rusko,Vehmaa,7
Oulainen,Kempele,7
Kajaani,Kiuruvesi,7
Pornainen,Vihti,7
Lappeenranta,Savonlinna,7
Raasepori,Kerava,7
Pomarkku,Siikainen,7
Jokioinen,Loppi,7
Perho,Kaustinen,7
Lestijärvi,Kaustinen,7
Lestijärvi,Sievi,7
Posio,Ranua,7
Tohmajärvi,Ilomantsi,7
Lapinjärvi,Askola,7
Tampere,Tammela,7
Teuva,Laihia,7
Teuva,Isokyrö,7
Teuva,Isojoki,7
Lemi,Miehikkälä,7
Parkano,Sastamala,7
Tohmajärvi,Savonlinna,7
Saarijärvi,Kyyjärvi,7
Lapua,Nykarleby,7
Lapua,Korsholm,7
Toholampi,Kronoby,7
Saarijärvi,Kivijärvi,7
Toholampi,Lestijärvi,7
Juupajoki,Ylöjärvi,7
Salo,Hämeenlinna,7
Lemland,Sund,7
Liperi,Varkaus,7
Toivakka,Kangasniemi,7
Muhos,Lumijoki,7
Salo,Mynämäki,7
Liperi,Kuopio,7
Leppävirta,Tuusniemi,7
Kajaani,Utajärvi,7
Kyyjärvi,Vimpeli,7
Oulainen,Liminka,7
Konnevesi,Pieksämäki,7
Kokemäki,Laitila,7
Luumäki,Imatra,7
Kaustinen,Halsua,7
Malax,Kauhajoki,7
Kauniainen,Porvoo,7
Sonkajärvi,Siilinjärvi,7
Rauma,Pöytyä,7
Kauhava,Laihia,7
Luumäki,Mikkeli,7
Larsmo,Kaustinen,7
Kauhava,Kuortane,7
Koski_Tl,Raisio,7
Kauhava,Kaustinen,7
Lumparland,Lemland,7
Kauhajoki,Honkajoki,7
Rauma,Lieto,7
Kivijärvi,Äänekoski,7
Säkylä,Lieto,7
Sauvo,Raasepori,7
Rautalampi,Vesanto,7
Kihniö,Karvia,7
Rautavaara,Sonkajärvi,7
Suonenjoki,Konnevesi,7
Pori,Loimaa,7
Suonenjoki,Äänekoski,7
Keuruu,Laukaa,7
Sund,Geta,7
Paimio,Forssa,7
Säkylä,Kaarina,7
Pukkila,Loviisa,7
Lohja,Turku,7
Kivijärvi,Alajärvi,7
Kerava,Orimattila,7
Kempele,Utajärvi,7
Luumäki,Mäntyharju,7
Keminmaa,Ii,7
Somero,Humppila,7
Karvia,Pori,7
Kotka,Lappeenranta,7
Loppi,Tampere,7
Ranua,Kemijärvi,7
Ranua,Kemi,7
Kustavi,Masku,7
Taivassalo,Kustavi,7
Kuusamo,Salla,7
Paimio,Loimaa,7
Taivassalo,Nousiainen,7
Rovaniemi,Pelkosenniemi,7
Karvia,Isojoki,7
Seinäjoki,Virrat,7
Loppi,Lahti,7
Pornainen,Pukkila,7
Ruokolahti,Puumala,7
Laitila,Kokemäki,7
Tammela,Nokia,7
Laitila,Loimaa,7
Masku,Laitila,7
Kurikka,Karvia,7
Riihimäki,Tampere,7
Kuortane,Kauhava,7
Kotka,Luumäki,7
Marttila,Koski_Tl,7
Soini,Vimpeli,7
Karstula,Multia,7
Kouvola,Järvenpää,7
Siikalatva,Kiuruvesi,7
Karkkila,Kauniainen,7
Sodankylä,Rovaniemi,7
Siikalatva,Utajärvi,7
Marttila,Somero,7
Luhanka,Sysmä,7
Luhanka,Muurame,7
Siuntio,Salo,7
Sipoo,Hausjärvi,7
Kuortane,Ilmajoki,7
Kiuruvesi,Keitele,7
Vaala,Pyhäntä,7
Myrskylä,Espoo,7
Eura,Pyhäranta,7
Vårdö,Lemland,7
Mynämäki,Salo,7
Heinola,Kotka,7
Naantali,Salo,7
Urjala,Ylöjärvi,7
Iisalmi,Rautavaara,7
Eurajoki,Pyhäranta,7
Pöytyä,Rauma,7
Urjala,Somero,7
Mäntsälä,Kouvola,7
Punkalaidun,Jokioinen,7
Viitasaari,Konnevesi,7
Evijärvi,Vimpeli,7
Naantali,Paimio,7
Iitti,Hamina,7
Mäntsälä,Lohja,7
Eura,Kankaanpää,7
Espoo,Pornainen,7
Nokia,Urjala,7
Pyhäjoki,Nivala,7
Urjala,Hattula,7
Ilmajoki,Kuortane,7
Jakobstad,Seinäjoki,7
Hattula,Nurmijärvi,7
Utajärvi,Siikalatva,7
Viitasaari,Pielavesi,7
Vihti,Forssa,7
Forssa,Vesilahti,7
Hailuoto,Raahe,7
Myrskylä,Lapinjärvi,7
Haapavesi,Siikajoki,7
Nakkila,Tampere,7
Humppila,Tammela,7
Haapajärvi,Oulainen,7
Haapajärvi,Kinnula,7
Humppila,Pöytyä,7
Pöytyä,Jokioinen,7
Pyhäjoki,Haapavesi,7
Föglö,Lemland,7
Pyhäjärvi,Haapavesi,7
Viitasaari,Siilinjärvi,7
Halsua,Toholampi,7
Valtimo,Kuhmo,7
Huittinen,Urjala,7
Virrat,Jyväskylä,7
Forssa,Marttila,7
Nakkila,Kankaanpää,7
Virrat,Kurikka,7
Viitasaari,Tervo,7
Mynämäki,Taivassalo,7
Forssa,Kangasala,7
Forssa,Kaarina,7
Tyrnävä,Vaala,7
Mynämäki,Kokemäki,7
Vimpeli,Kuortane,7
Punkalaidun,Kokemäki,7
Pukkila,Myrskylä,7
Helsinki,Janakkala,7
Vantaa,Ingå,7
Pieksämäki,Muurame,7
Aura,Marttila,7
Hausjärvi,Lohja,7
Janakkala,Sipoo,7
Imatra,Puumala,7
Ylöjärvi,Parkano,7
Puumala,Juva,7
Tuusula,Hämeenlinna,7
Vantaa,Janakkala,7
Perho,Pihtipudas,7
Nurmijärvi,Hollola,7
Helsinki,Ingå,7
Hausjärvi,Sipoo,7
Porvoo,Hausjärvi,7
Pedersöre,Lapua,7
Akaa,Loppi,7
Alavieska,Pyhäjoki,7
Hollola,Sipoo,7
Ypäjä,Aura,7
Tuusniemi,Liperi,7
Vesilahti,Forssa,7
Pedersöre,Seinäjoki,7
Pedersöre,Veteli,7
Alavus,Mänttä-Vilppula,7
Puumala,Taipalsaari,7
Alavieska,Kokkola,7
Hollola,Pukkila,7
Mäntyharju,Lemi,7
Vieremä,Pyhäjärvi,7
Pirkkala,Orivesi,7
Veteli,Jakobstad,7
Isokyrö,Nykarleby,7
Ähtäri,Multia,7
Soini,Kyyjärvi,6
Nakkila,Laitila,6
Padasjoki,Hausjärvi,6
Pori,Turku,6
Helsinki,Hämeenlinna,6
Vimpeli,Kokkola,6
Kristinestad,Honkajoki,6
Pihtipudas,Perho,6
Kristinestad,Siikainen,6
Vesilahti,Hämeenkyrö,6
Sysmä,Hämeenlinna,6
Vimpeli,Kronoby,6
Veteli,Kannus,6
Lohja,Hanko,6
Veteli,Lapua,6
Heinävesi,Savonlinna,6
Hattula,Hollola,6
Hartola,Asikkala,6
Reisjärvi,Halsua,6
Naantali,Laitila,6
Viitasaari,Kinnula,6
Kokkola,Alavieska,6
Sund,Lumparland,6
Jokioinen,Huittinen,6
Viitasaari,Kiuruvesi,6
Viitasaari,Kivijärvi,6
Kinnula,Pyhäjärvi,6
Vieremä,Lapinlahti,6
Naantali,Pöytyä,6
Konnevesi,Saarijärvi,6
Kinnula,Lestijärvi,6
Rautavaara,Sotkamo,6
Kinnula,Kivijärvi,6
Viitasaari,Laukaa,6
Naantali,Rauma,6
Kontiolahti,Tohmajärvi,6
Lohja,Lieto,6
Mänttä-Vilppula,Nokia,6
Koski_Tl,Lohja,6
Kihniö,Ruovesi,6
Koski_Tl,Ypäjä,6
Lohja,Mäntsälä,6
Viitasaari,Reisjärvi,6
Pyhäjärvi,Pielavesi,6
Suomussalmi,Pudasjärvi,6
Kuhmoinen,Asikkala,6
Lappajärvi,Kaustinen,6
Laukaa,Rautalampi,6
Laukaa,Jämsä,6
Ypäjä,Paimio,6
Lapua,Pedersöre,6
Nousiainen,Vehmaa,6
Lapua,Lappajärvi,6
Ypäjä,Kaarina,6
Salo,Kauniainen,6
Nousiainen,Salo,6
Ypäjä,Huittinen,6
Puumala,Sulkava,6
Ylöjärvi,Pälkäne,6
Orivesi,Hattula,6
Salo,Oripää,6
Nousiainen,Eura,6
Lappajärvi,Jakobstad,6
Orivesi,Akaa,6
Ähtäri,Kurikka,6
Askola,Hausjärvi,6
Lemland,Hammarland,6
Alavus,Kauhava,6
Nurmijärvi,Orimattila,6
Alavieska,Haapavesi,6
Lestijärvi,Pihtipudas,6
Liperi,Kaavi,6
Orivesi,Jyväskylä,6
Rusko,Pöytyä,6
Leppävirta,Rantasalmi,6
Raasepori,Sauvo,6
Lemland,Lumparland,6
Puolanka,Vaala,6
Raasepori,Tuusula,6
Liperi,Tohmajärvi,6
Alavus,Kihniö,6
Saarijärvi,Alajärvi,6
Pedersöre,Lappajärvi,6
Lemland,Saltvik,6
Espoo,Hausjärvi,6
Lapinlahti,Rautavaara,6
Pori,Ylöjärvi,6
Ylöjärvi,Kankaanpää,6
Kärkölä,Askola,6
Kerava,Kärkölä,6
Virrat,Karvia,6
